tclass2,pclass2
greenh,greenh
wr,wr
wm,wm
cx_rw,cx_rw
wt,greenh
cx_b,br
br,br
cx_rw,cx_rw
wm,wm
gf,gf
bf,bf
gh,wm
wt,wm
ptc,ptc
cx_b,cx_gw
cx_b,cx_b
st,st
lt,gh
wt,greenh
wm,gf
gh,gh
rf,rf
of,of
greenh,greenh
wt,wt
br,br
gr,gr
lt,lt
lt,gh
xkc,xkc
lt,lt
wm,wm
cx_rw,cx_rw
wr,wr
ptc,cx_gw
lt,lt
gr,gr
br,wr
lt,lt
wt,wt
lt,cc
st,st
cx_rw,cx_rw
xkc,cc
ptc,ptc
lt,lt
of,of
rf,rf
cx_gw,wr
gf,gf
xkc,cx_b
cx_gw,cx_gw
wt,wm
gr,greenh
lt,lt
ptc,cx_b
cc,cc
cx_rw,cx_rw
greenh,greenh
wm,wm
gh,gf
greenh,dp
greenh,greenh
ptc,ptc
bf,rf
dp,dp
dp,cx_gw
gr,gr
xkc,cx_b
wr,wr
rf,of
cx_rw,cx_rw
ptc,ptc
cc,cc
cx_rw,cx_rw
st,greenh
gr,gr
gr,gr
gh,gf
dp,dp
xkc,cx_gw
bf,bf
cc,xkc
dp,dp
ptc,ptc
wr,wr
cc,cx_gw
greenh,greenh
wm,wm
dp,dp
cx_gw,lt
wm,wm
gh,gh
cx_b,cx_b
cc,cc
cx_gw,dp
lt,gh
bf,bf
br,br
cx_b,cx_b
cx_b,wr
wm,wm
lt,lt
greenh,greenh
greenh,greenh
cc,xkc
bf,greenh
wr,wr
greenh,st
dp,cx_gw
cx_b,cx_b
dp,gf
dp,dp
of,of
greenh,greenh
bf,br
ptc,ptc
xkc,xkc
bf,bf
greenh,of
xkc,gh
cx_rw,cx_rw
cx_rw,cx_rw
ptc,ptc
of,of
wt,st
wr,wr
cc,xkc
bf,br
xkc,ptc
st,st
gr,gr
cx_rw,cx_rw
bf,br
dp,dp
gh,cx_gw
dp,greenh
cx_gw,cx_gw
dp,dp
cx_rw,cx_rw
st,greenh
cx_b,cx_rw
gr,gr
wm,wm
gf,gf
wt,greenh
cx_rw,cx_rw
bf,bf
wm,wm
st,st
cx_gw,lt
wr,wr
bf,rf
gf,gf
gr,wr
ptc,cc
st,st
cx_gw,dp
gh,greenh
ptc,gh
ptc,gf
dp,cx_gw
br,br
br,br
cc,ptc
cc,cc
cx_b,cx_b
of,greenh
wt,wt
xkc,xkc
wm,wm
gf,gf
cx_gw,cx_gw
ptc,ptc
cx_rw,cx_b
st,st
br,br
cc,cc
